semester,skema,title,link,ID,duration
E14/F15,Skema C,Komplekse tal Del 2,https://video.dtu.dk/media/Komplekse+tal+Del+2/0_orr5ks8b/200601,0_orr5ks8b,2683.68
E14/F15,Skema C,Komplekse tal Del 1,https://video.dtu.dk/media/Komplekse+tal+Del+1/0_twkps3dd/200601,0_twkps3dd,2941.48
E14/F15,Skema C,Komplekse tal Del 2,https://video.dtu.dk/media/Komplekse+tal+Del+2/0_nxwxdb4e/200601,0_nxwxdb4e,2330.76
E14/F15,Skema C,Integralregning Del1,https://video.dtu.dk/media/Integralregning+Del1/0_v310w8at/200601,0_v310w8at,2646.4
E14/F15,Skema C,Integralregning Del2,https://video.dtu.dk/media/Integralregning+Del2/0_5ou7q9u4/200601,0_5ou7q9u4,1758.76
E14/F15,Skema C,Lineære ligninger Del 1,https://video.dtu.dk/media/Line%C3%A6re+ligninger+Del+1/0_njzyaqva/200601,0_njzyaqva,2943.84
E14/F15,Skema C,Lineære ligninger Del 2,https://video.dtu.dk/media/Line%C3%A6re+ligninger+Del+2/0_sm6ip7m3/200601,0_sm6ip7m3,1997.16
E14/F15,Skema C,Lineær Algebra Del 1,https://video.dtu.dk/media/Line%C3%A6r+Algebra+Del+1/0_jnsn8x7b/200601,0_jnsn8x7b,2347.28
E14/F15,Skema C,Lineær Algebra Del 2,https://video.dtu.dk/media/Line%C3%A6r+Algebra+Del+2/0_nvo6vd6b/200601,0_nvo6vd6b,2253.36
E14/F15,Skema C,Kvadratiske matricer Del 1,https://video.dtu.dk/media/Kvadratiske+matricer+Del+1/0_p8rvbma9/200601,0_p8rvbma9,3081.24
E14/F15,Skema C,Kvadratiske matricer Del 2,https://video.dtu.dk/media/Kvadratiske+matricer+Del+2/0_tea1f3gh/200601,0_tea1f3gh,2945.28
E14/F15,Skema C,Geometriske vektorer Del 1,https://video.dtu.dk/media/Geometriske+vektorer+Del+1/0_9lgn8aal/200601,0_9lgn8aal,2414.2
E14/F15,Skema C,Geometriske vektorer Del 2,https://video.dtu.dk/media/Geometriske+vektorer+Del+2/0_dy5d057q/200601,0_dy5d057q,2657.48
E14/F15,Skema C,Vektorrum Del 1,https://video.dtu.dk/media/Vektorrum+Del+1/0_eqm7tsgj/200601,0_eqm7tsgj,2828.68
E14/F15,Skema C,Vektorrum Del 2,https://video.dtu.dk/media/Vektorrum+Del+2/0_ydef03sz/200601,0_ydef03sz,2655.52
E14/F15,Skema C,Lineær afbildning Del 1,https://video.dtu.dk/media/Line%C3%A6r+afbildning+Del+1/0_vvj6yeb5/200601,0_vvj6yeb5,2518.96
